Breed,Sex,DOB,Intake_Date,Outcome_Date,Intake_Type,Animal_Type,Outcome_Type,Intake_Condition,Time_in_Shelter_Days,Primary_Color,Secondary_Color,Outcome_Age,Shelter_Name,Intake_Age
GERM SH POINT,Neutered,1900-01-01,2018-01-10,2018-01-11,STRAY,DOG,return to owner,HEALTHY,1,white,brown,NaT,Sonoma County Animal Shelter,43108
DOMESTIC MH,Spayed,2013-08-09,2019-04-16,2019-04-27,OWNER SURRENDER,CAT,adoption,UNKNOWN,11,black,white,2087,Sonoma County Animal Shelter,2076
DOMESTIC MH,Spayed,2006-05-23,2015-10-28,2015-11-14,OWNER SURRENDER,CAT,adoption,HEALTHY,17,brn tabby,none,3462,Sonoma County Animal Shelter,3445
DOMESTIC LH,Neutered,1900-01-01,2018-10-23,2018-11-08,STRAY,CAT,return to owner,HEALTHY,16,brn tabby,none,NaT,Sonoma County Animal Shelter,43394
PIT BULL,Neutered,1900-01-01,2015-12-22,2015-12-22,STRAY,DOG,return to owner,HEALTHY,0,brown,white,NaT,Sonoma County Animal Shelter,42358
DOMESTIC SH,Unknown,1900-01-01,2021-10-02,2021-10-03,STRAY,CAT,disposal,UNKNOWN,1,gray,white,NaT,Sonoma County Animal Shelter,44469
DOMESTIC SH,Neutered,2006-03-07,2014-03-07,2014-04-01,TRANSFER,CAT,adoption,HEALTHY,25,buff,none,2947,Sonoma County Animal Shelter,2922
CATAHOULA/MIX,Spayed,2016-05-18,2018-05-17,2018-06-15,STRAY,DOG,adoption,HEALTHY,29,tan,black,758,Sonoma County Animal Shelter,729
DOMESTIC SH,Neutered,2004-09-10,2022-09-07,2022-09-10,STRAY,CAT,return to owner,HEALTHY,3,brn tabby,none,6574,Sonoma County Animal Shelter,6571
DOMESTIC SH,Spayed,2022-07-17,2022-09-15,2022-10-29,OWNER SURRENDER,CAT,adoption,HEALTHY,44,brn tabby,none,104,Sonoma County Animal Shelter,60
DOMESTIC SH,Neutered,2014-08-11,2014-09-11,2014-10-20,STRAY,CAT,adoption,HEALTHY,39,brn tabby,none,70,Sonoma County Animal Shelter,31
BELG MALINOIS/MIX,Neutered,2018-01-01,2020-01-03,2020-01-03,STRAY,DOG,return to owner,HEALTHY,0,brown,black,732,Sonoma County Animal Shelter,732
PIT BULL/MIX,Neutered,2019-02-13,2020-02-13,2020-02-22,OWNER SURRENDER,DOG,adoption,HEALTHY,9,black,white,374,Sonoma County Animal Shelter,365
HORSE,Female,1900-01-01,2018-03-22,2018-04-12,CONFISCATE,OTHER,transfer,TREATABLE/REHAB,21,tan,white,NaT,Sonoma County Animal Shelter,43179
DOMESTIC SH,Unknown,2014-04-30,2014-06-26,2014-07-01,STRAY,CAT,transfer,HEALTHY,5,brn tabby,none,62,Sonoma County Animal Shelter,57
DOMESTIC SH,Spayed,2016-05-13,2016-08-13,2016-08-26,STRAY,CAT,adoption,HEALTHY,13,gray tabby,tortie,105,Sonoma County Animal Shelter,92
PIT BULL/MIX,Neutered,1900-01-01,2015-07-21,2015-07-31,QUARANTINE,DOG,return to owner,HEALTHY,10,white,brown,NaT,Sonoma County Animal Shelter,42204
CHIHUAHUA SH,Spayed,2014-09-21,2015-09-08,2015-09-23,STRAY,DOG,return to owner,HEALTHY,15,brown,white,367,Sonoma County Animal Shelter,352
SIBERIAN HUSKY/GERM SHEPHERD,Spayed,2019-09-26,2019-12-11,2019-12-20,OWNER SURRENDER,DOG,adoption,HEALTHY,9,tricolor,none,85,Sonoma County Animal Shelter,76
LABRADOR RETR/MIX,Neutered,2011-04-25,2014-01-02,2014-01-02,STRAY,DOG,return to owner,HEALTHY,0,black,none,983,Sonoma County Animal Shelter,983
AUST SHEPHERD/MIX,Female,1900-01-01,2017-05-19,2017-05-20,STRAY,DOG,return to owner,HEALTHY,1,brown,black,NaT,Sonoma County Animal Shelter,42872
DOMESTIC SH,Unknown,2019-04-03,2019-04-18,2019-04-18,STRAY,CAT,transfer,UNKNOWN,0,agouti,none,15,Sonoma County Animal Shelter,15
DOMESTIC SH,Male,2014-03-28,2014-04-01,2014-04-01,STRAY,CAT,died,UNKNOWN,0,black,none,4,Sonoma County Animal Shelter,4
GOAT,Neutered,1900-01-01,2015-10-29,2015-12-10,STRAY,OTHER,transfer,HEALTHY,42,black,white,NaT,Sonoma County Animal Shelter,42304
GERM SHEPHERD/MIX,Neutered,2009-02-01,2016-07-05,2016-07-05,STRAY,DOG,return to owner,HEALTHY,0,black,tan,2711,Sonoma County Animal Shelter,2711
LABRADOR RETR/MIX,Male,1900-01-01,2019-09-02,2019-09-03,CONFISCATE,DOG,return to owner,UNKNOWN,1,yellow,none,NaT,Sonoma County Animal Shelter,43708
SHIH TZU,Neutered,2010-12-01,2015-01-24,2015-01-27,STRAY,DOG,return to owner,HEALTHY,3,white,black,1518,Sonoma County Animal Shelter,1515
CHIHUAHUA SH,Spayed,2013-10-21,2014-04-21,2014-05-02,STRAY,DOG,transfer,HEALTHY,11,tan,none,193,Sonoma County Animal Shelter,182
DOMESTIC SH,Unknown,1900-01-01,2020-02-29,2020-02-29,STRAY,CAT,disposal,UNKNOWN,0,black,none,NaT,Sonoma County Animal Shelter,43888
DOMESTIC SH,Neutered,2014-07-11,2014-09-11,2014-09-18,STRAY,CAT,adoption,HEALTHY,7,black,none,69,Sonoma County Animal Shelter,62
CHIHUAHUA SH/MIX,Neutered,2013-02-02,2016-01-16,2016-01-19,STRAY,DOG,return to owner,HEALTHY,3,white,brown,1081,Sonoma County Animal Shelter,1078
AUST SHEPHERD/BORDER COLLIE,Female,2019-06-16,2019-10-16,2019-10-17,STRAY,DOG,return to owner,HEALTHY,1,liver tick,none,123,Sonoma County Animal Shelter,122
AKITA,Neutered,2020-05-17,2022-01-11,2022-01-22,ADOPTION RETURN,DOG,adoption,UNKNOWN,11,white,brown,615,Sonoma County Animal Shelter,604
SHIH TZU,Female,2009-07-10,2017-12-04,2017-12-12,STRAY,DOG,euthanize,UNTREATABLE,8,tricolor,none,3077,Sonoma County Animal Shelter,3069
PIT BULL,Spayed,2017-01-22,2017-09-02,2017-10-07,STRAY,DOG,adoption,HEALTHY,35,black,white,258,Sonoma County Animal Shelter,223
GERM SHEPHERD,Spayed,2011-11-06,2015-11-06,2015-12-05,STRAY,DOG,adoption,HEALTHY,29,black,tan,1490,Sonoma County Animal Shelter,1461
GREAT DANE/MIX,Neutered,2016-09-17,2017-12-11,2017-12-15,STRAY,DOG,return to owner,UNKNOWN,4,br brindle,white,454,Sonoma County Animal Shelter,450
OPOSSUM,Unknown,1900-01-01,2017-05-12,2017-05-12,STRAY,OTHER,transfer,HEALTHY,0,gray,white,NaT,Sonoma County Animal Shelter,42865
FRENCH BULLDOG,Male,2016-09-13,2019-03-19,2020-10-21,CONFISCATE,DOG,transfer,TREATABLE/MANAGEABLE,582,black,white,1499,Sonoma County Animal Shelter,917
TERRIER & MIX,Spayed,2006-05-15,2021-06-23,2021-06-23,STRAY,DOG,return to owner,UNKNOWN,0,black,none,5518,Sonoma County Animal Shelter,5518
AUST CATTLE DOG,Female,2013-12-27,2017-12-27,2017-12-28,STRAY,DOG,return to owner,HEALTHY,1,red tick,none,1462,Sonoma County Animal Shelter,1461
DOMESTIC SH,Spayed,2017-05-01,2017-07-13,2017-08-05,OWNER SURRENDER,CAT,adoption,HEALTHY,23,gray tabby,none,96,Sonoma County Animal Shelter,73
GERM SHEPHERD/MIX,Spayed,2016-08-01,2022-12-28,2023-08-05,OWNER SURRENDER,DOG,adoption,HEALTHY,220,red,black,2560,Sonoma County Animal Shelter,2340
DOMESTIC SH,Neutered,1900-01-01,2016-04-26,2016-04-27,STRAY,CAT,return to owner,HEALTHY,1,gray,white,NaT,Sonoma County Animal Shelter,42484
PIT BULL,Female,2012-12-21,2014-10-26,2014-10-29,STRAY,DOG,return to owner,HEALTHY,3,blue,none,677,Sonoma County Animal Shelter,674
DOMESTIC SH,Neutered,2019-06-27,2019-09-05,2019-09-13,OWNER SURRENDER,CAT,adoption,HEALTHY,8,brn tabby,none,78,Sonoma County Animal Shelter,70
BELG MALINOIS,Spayed,2016-07-07,2017-02-21,2017-03-08,STRAY,DOG,adoption,HEALTHY,15,tan,black,244,Sonoma County Animal Shelter,229
BULLMASTIFF,Neutered,2003-08-10,2014-05-17,2014-07-09,STRAY,DOG,adoption,HEALTHY,53,red,none,3986,Sonoma County Animal Shelter,3933
GERM SHEPHERD,Male,2013-10-11,2022-09-14,2022-09-14,STRAY,DOG,return to owner,UNKNOWN,0,tan,black,3260,Sonoma County Animal Shelter,3260
BLACK/TAN HOUND/MIX,Neutered,2015-04-02,2021-04-03,2021-04-07,OWNER SURRENDER,DOG,return to owner,HEALTHY,4,tricolor,none,2197,Sonoma County Animal Shelter,2193
DOMESTIC MH,Female,1900-01-01,2019-07-11,2019-07-13,STRAY,CAT,return to owner,UNKNOWN,2,brn tabby,none,NaT,Sonoma County Animal Shelter,43655
PARSON RUSS TER,Female,1900-01-01,2016-05-31,2016-05-31,STRAY,DOG,return to owner,HEALTHY,0,tricolor,none,NaT,Sonoma County Animal Shelter,42519
LABRADOR RETR/BORDER COLLIE,Male,2017-01-30,2018-01-30,2018-02-20,STRAY,DOG,transfer,UNKNOWN,21,black,white,386,Sonoma County Animal Shelter,365
DOMESTIC SH,Neutered,2021-02-19,2021-03-25,2021-04-21,OWNER SURRENDER,CAT,adoption,TREATABLE/REHAB,27,slvr tabby,none,61,Sonoma County Animal Shelter,34
GERM SHEPHERD,Neutered,2012-11-25,2014-11-25,2014-12-13,STRAY,DOG,adoption,HEALTHY,18,black,tan,748,Sonoma County Animal Shelter,730
DOMESTIC SH,Neutered,2013-04-24,2015-04-24,2015-05-07,OWNER SURRENDER,CAT,adoption,HEALTHY,13,brn tabby,none,743,Sonoma County Animal Shelter,730
PIT BULL/MIX,Spayed,2015-11-08,2016-11-08,2016-11-10,STRAY,DOG,return to owner,HEALTHY,2,blue,white,368,Sonoma County Animal Shelter,366
PIT BULL/MIX,Male,1900-01-01,2015-06-02,2015-06-11,STRAY,DOG,euthanize,UNTREATABLE,9,red,none,NaT,Sonoma County Animal Shelter,42155
MANX,Neutered,2011-10-23,2017-10-23,2017-10-24,STRAY,CAT,return to owner,UNKNOWN,1,brn tabby,none,2193,Sonoma County Animal Shelter,2192
CHIHUAHUA SH/MIX,Male,2017-02-28,2019-05-18,2019-05-21,STRAY,DOG,return to owner,HEALTHY,3,white,black,812,Sonoma County Animal Shelter,809
OPOSSUM,Unknown,1900-01-01,2016-07-18,2016-07-18,STRAY,OTHER,euthanize,UNTREATABLE,0,tricolor,none,NaT,Sonoma County Animal Shelter,42567
LABRADOR RETR,Neutered,2008-01-17,2018-03-05,2018-03-06,STRAY,DOG,return to owner,HEALTHY,1,chocolate,none,3701,Sonoma County Animal Shelter,3700
DOMESTIC MH,Neutered,2010-01-06,2017-01-06,2017-02-28,OWNER SURRENDER,CAT,adoption,TREATABLE/MANAGEABLE,53,gray,white,2610,Sonoma County Animal Shelter,2557
FOX TERR SMOOTH/MIX,Female,2017-10-17,2018-01-17,2018-02-01,STRAY,DOG,transfer,HEALTHY,15,white,brown,107,Sonoma County Animal Shelter,92
GERM SHEPHERD/MIX,Female,1900-01-01,2023-03-09,2023-04-07,STRAY,DOG,euthanize,UNKNOWN,29,black,tan,NaT,Sonoma County Animal Shelter,44992
AUST SHEPHERD/MIX,Female,1900-01-01,2017-06-05,2017-06-23,OWNER SURRENDER,DOG,euthanize,UNTREATABLE,18,tricolor,none,NaT,Sonoma County Animal Shelter,42889
DOMESTIC SH,Spayed,2019-03-03,2019-05-18,2019-05-24,OWNER SURRENDER,CAT,adoption,HEALTHY,6,calico,none,82,Sonoma County Animal Shelter,76
PIT BULL/MIX,Female,1900-01-01,2020-10-22,2020-10-27,STRAY,DOG,return to owner,UNKNOWN,5,br brindle,none,NaT,Sonoma County Animal Shelter,44124
DOMESTIC SH,Unknown,1900-01-01,2017-05-26,2017-05-26,STRAY,CAT,euthanize,UNTREATABLE,0,gray,white,NaT,Sonoma County Animal Shelter,42879
PUG,Male,2021-05-16,2022-04-21,2022-04-21,STRAY,DOG,return to owner,UNKNOWN,0,fawn,none,340,Sonoma County Animal Shelter,340
DOMESTIC MH,Neutered,2005-04-01,2014-04-24,2014-05-07,OWNER SURRENDER,CAT,adoption,HEALTHY,13,brn tabby,none,3323,Sonoma County Animal Shelter,3310
DOMESTIC LH,Neutered,2017-03-23,2017-06-07,2017-06-13,STRAY,CAT,adoption,TREATABLE/REHAB,6,brn tabby,white,82,Sonoma County Animal Shelter,76
DOMESTIC SH,Neutered,2014-09-22,2017-09-22,2017-09-26,STRAY,CAT,return to owner,HEALTHY,4,black,white,1100,Sonoma County Animal Shelter,1096
MALTESE,Male,2017-07-03,2020-02-18,2020-02-19,STRAY,DOG,return to owner,UNKNOWN,1,white,none,961,Sonoma County Animal Shelter,960
CHIHUAHUA SH,Neutered,2010-07-21,2016-07-21,2016-08-05,STRAY,DOG,adoption,HEALTHY,15,brown,white,2207,Sonoma County Animal Shelter,2192
GERM SHEPHERD/MIX,Neutered,2015-03-09,2016-01-30,2016-03-31,STRAY,DOG,transfer,HEALTHY,61,black,tan,388,Sonoma County Animal Shelter,327
SCHNAUZER MIN/MIX,Female,2022-07-14,2023-01-09,2023-01-18,STRAY,DOG,transfer,UNKNOWN,9,black,brown,188,Sonoma County Animal Shelter,179
DOMESTIC SH,Spayed,1900-01-01,2015-02-23,2015-02-27,STRAY,CAT,return to owner,TREATABLE/MANAGEABLE,4,brn tabby,none,NaT,Sonoma County Animal Shelter,42056
PIT BULL,Spayed,2013-05-07,2017-07-16,2017-07-29,OWNER SURRENDER,DOG,euthanize,UNTREATABLE,13,gray,white,1544,Sonoma County Animal Shelter,1531
RABBIT SH,Neutered,2014-01-28,2016-01-21,2016-03-03,OWNER SURRENDER,OTHER,transfer,HEALTHY,42,white,none,765,Sonoma County Animal Shelter,723
DOMESTIC SH,Unknown,1900-01-01,2021-09-22,2021-09-22,STRAY,CAT,disposal,UNKNOWN,0,brown,none,NaT,Sonoma County Animal Shelter,44459
DOMESTIC SH,Spayed,1900-01-01,2016-08-02,2016-08-12,STRAY,CAT,return to owner,HEALTHY,10,brn tabby,tortie,NaT,Sonoma County Animal Shelter,42582
PARSON RUSS TER,Male,1900-01-01,2019-09-25,2019-09-25,CONFISCATE,DOG,return to owner,UNKNOWN,0,gray,none,NaT,Sonoma County Animal Shelter,43731
DOMESTIC SH,Female,1900-01-01,2016-03-22,2016-03-23,STRAY,CAT,return to owner,UNTREATABLE,1,gray tabby,none,NaT,Sonoma County Animal Shelter,42449
CHIHUAHUA SH/MIX,Spayed,2018-06-14,2019-02-14,2019-03-04,STRAY,DOG,transfer,HEALTHY,18,cream,none,263,Sonoma County Animal Shelter,245
DOMESTIC SH,Unknown,1900-01-01,2022-04-26,2022-04-27,STRAY,CAT,transfer,UNKNOWN,1,tortie,none,NaT,Sonoma County Animal Shelter,44675
DOMESTIC LH,Neutered,1900-01-01,2019-10-08,2019-10-09,STRAY,CAT,transfer,HEALTHY,1,brn tabby,none,NaT,Sonoma County Animal Shelter,43744
DOMESTIC SH,Spayed,2010-11-09,2022-08-27,2022-08-30,STRAY,CAT,return to owner,UNKNOWN,3,lilac pt,none,4312,Sonoma County Animal Shelter,4309
DOMESTIC MH,Unknown,2020-06-29,2020-08-14,2020-08-14,STRAY,CAT,transfer,UNKNOWN,0,brn tabby,none,46,Sonoma County Animal Shelter,46
PIT BULL,Spayed,2020-09-23,2022-09-23,2022-11-09,STRAY,DOG,adoption,HEALTHY,47,tan,white,777,Sonoma County Animal Shelter,730
DOMESTIC MH,Spayed,2014-06-03,2014-08-22,2014-09-05,OWNER SURRENDER,CAT,adoption,HEALTHY,14,brn tabby,none,94,Sonoma County Animal Shelter,80
MANX/MIX,Unknown,2014-04-12,2014-06-12,2014-06-17,STRAY,CAT,transfer,HEALTHY,5,org tabby,white,66,Sonoma County Animal Shelter,61
DOMESTIC SH,Spayed,2014-06-01,2014-09-25,2014-10-02,STRAY,CAT,adoption,HEALTHY,7,org tabby,none,123,Sonoma County Animal Shelter,116
LOP-MINI,Spayed,2014-01-07,2016-01-02,2016-01-20,STRAY,OTHER,adoption,HEALTHY,18,brown,black,743,Sonoma County Animal Shelter,725
DOMESTIC SH,Female,1999-02-13,2014-02-13,2014-02-13,STRAY,CAT,euthanize,UNTREATABLE,0,tortie,none,5479,Sonoma County Animal Shelter,5479
SCHNAUZER MIN/MIX,Male,2010-01-28,2015-08-14,2015-08-15,STRAY,DOG,return to owner,TREATABLE/REHAB,1,black,gray,2025,Sonoma County Animal Shelter,2024
CHIHUAHUA SH,Neutered,2003-11-20,2018-11-19,2018-11-20,STRAY,DOG,return to owner,HEALTHY,1,brown,none,5479,Sonoma County Animal Shelter,5478
PIT BULL,Male,1900-01-01,2022-01-02,2022-01-06,STRAY,DOG,return to owner,UNKNOWN,4,tan,white,NaT,Sonoma County Animal Shelter,44561
SIBERIAN HUSKY,Male,2011-01-28,2015-01-15,2015-01-31,STRAY,DOG,return to owner,HEALTHY,16,black,white,1464,Sonoma County Animal Shelter,1448
CHICKEN,Female,1900-01-01,2017-09-26,2017-10-12,CONFISCATE,OTHER,transfer,UNKNOWN,16,red,none,NaT,Sonoma County Animal Shelter,43002
GERM SHEPHERD,Spayed,2016-10-18,2017-02-18,2017-03-01,STRAY,DOG,adoption,HEALTHY,11,black,tan,134,Sonoma County Animal Shelter,123
ANATOL SHEPHERD,Female,1900-01-01,2022-04-25,2022-04-28,STRAY,DOG,transfer,HEALTHY,3,brown,black,NaT,Sonoma County Animal Shelter,44674
DOMESTIC SH,Unknown,1900-01-01,2018-10-13,2018-10-14,STRAY,CAT,disposal,UNKNOWN,1,org tabby,none,NaT,Sonoma County Animal Shelter,43384
TIBETAN TERR/MIX,Male,2017-02-18,2020-02-18,2020-03-04,STRAY,DOG,transfer,HEALTHY,15,tan,white,1110,Sonoma County Animal Shelter,1095
DOMESTIC SH,Neutered,1900-01-01,2016-04-02,2016-04-02,STRAY,CAT,return to owner,UNTREATABLE,0,orange,none,NaT,Sonoma County Animal Shelter,42460
DOMESTIC SH,Spayed,2023-04-30,2023-05-25,2023-07-18,STRAY,CAT,adoption,HEALTHY,54,black,none,79,Sonoma County Animal Shelter,25
DOMESTIC SH,Male,2021-04-10,2021-05-10,2021-05-10,STRAY,CAT,transfer,UNKNOWN,0,brn tabby,none,30,Sonoma County Animal Shelter,30
BOSTON TERRIER/MIX,Male,2017-10-01,2019-01-29,2019-01-31,STRAY,DOG,return to owner,HEALTHY,2,black,white,487,Sonoma County Animal Shelter,485
DOMESTIC MH,Male,2018-03-29,2018-05-29,2018-05-30,STRAY,CAT,transfer,TREATABLE/REHAB,1,black,none,62,Sonoma County Animal Shelter,61
GERM SHEPHERD/MIX,Male,1900-01-01,2019-08-02,2019-08-13,STRAY,DOG,euthanize,UNTREATABLE,11,white,none,NaT,Sonoma County Animal Shelter,43677
DOMESTIC SH,Spayed,2022-05-17,2022-07-21,2022-08-20,STRAY,CAT,adoption,HEALTHY,30,brn tabby,none,95,Sonoma County Animal Shelter,65
LHASA APSO/MIX,Neutered,2005-11-10,2014-10-17,2014-11-21,STRAY,DOG,adoption,TREATABLE/REHAB,35,black,none,3298,Sonoma County Animal Shelter,3263
PIT BULL/MIX,Neutered,2016-02-22,2017-08-22,2017-09-22,OWNER SURRENDER,DOG,adoption,UNKNOWN,31,brown,white,578,Sonoma County Animal Shelter,547
LABRADOR RETR/MIX,Neutered,2016-10-03,2018-10-03,2018-10-13,STRAY,DOG,adoption,UNKNOWN,10,red,white,740,Sonoma County Animal Shelter,730
CHIHUAHUA SH/MIX,Male,1900-01-01,2019-08-22,2019-08-30,STRAY,DOG,transfer,HEALTHY,8,white,brown,NaT,Sonoma County Animal Shelter,43697
AKBASH,Male,2019-01-19,2022-01-19,2022-01-20,STRAY,DOG,return to owner,UNKNOWN,1,white,none,1097,Sonoma County Animal Shelter,1096
CHIHUAHUA & MIX,Neutered,1900-01-01,2015-01-27,2015-04-09,STRAY,DOG,adoption,TREATABLE/REHAB,72,unknown,none,NaT,Sonoma County Animal Shelter,42029
POMERANIAN,Female,1900-01-01,2021-09-24,2021-11-23,CONFISCATE,DOG,disposal,UNKNOWN,60,black,none,NaT,Sonoma County Animal Shelter,44461
DOMESTIC SH,Neutered,2014-05-27,2014-08-13,2014-12-12,STRAY,CAT,adoption,HEALTHY,121,black,none,199,Sonoma County Animal Shelter,78
PIT BULL/BOXER,Spayed,1900-01-01,2023-01-19,2023-01-19,STRAY,DOG,return to owner,UNKNOWN,0,white,black,NaT,Sonoma County Animal Shelter,44943
DOMESTIC SH,Male,2019-05-03,2019-05-25,2019-05-29,STRAY,CAT,transfer,TREATABLE/REHAB,4,brn tabby,none,26,Sonoma County Animal Shelter,22
DOMESTIC SH,Unknown,2016-05-12,2016-06-03,2016-06-03,STRAY,CAT,euthanize,UNTREATABLE,0,brn tabby,none,22,Sonoma County Animal Shelter,22
GERM SHEPHERD,Spayed,2021-11-18,2023-04-24,2023-06-07,STRAY,DOG,adoption,HEALTHY,44,black,tan,566,Sonoma County Animal Shelter,522
WELSH CORGI PEM/MIX,Neutered,2016-10-29,2022-07-26,2022-07-30,CONFISCATE,DOG,return to owner,UNKNOWN,4,br brindle,none,2100,Sonoma County Animal Shelter,2096
SIBERIAN HUSKY/MIX,Male,2019-09-26,2021-12-20,2022-03-03,QUARANTINE,DOG,euthanize,UNKNOWN,73,black,white,889,Sonoma County Animal Shelter,816
DOMESTIC SH,Spayed,1900-01-01,2017-06-10,2017-06-14,STRAY,CAT,return to owner,TREATABLE/MANAGEABLE,4,org tabby,none,NaT,Sonoma County Animal Shelter,42894
COCKER SPAN,Spayed,2010-11-04,2015-04-23,2015-05-02,OWNER SURRENDER,DOG,adoption,HEALTHY,9,gold,none,1640,Sonoma County Animal Shelter,1631
DOMESTIC SH,Neutered,2015-04-06,2015-06-17,2015-06-24,OWNER SURRENDER,CAT,adoption,HEALTHY,7,gray tabby,none,79,Sonoma County Animal Shelter,72
DOMESTIC SH,Neutered,2018-09-15,2018-11-27,2018-12-04,STRAY,CAT,adoption,UNKNOWN,7,gray,white,80,Sonoma County Animal Shelter,73
FINCH,Male,1900-01-01,2018-10-16,2018-10-26,STRAY,OTHER,adoption,UNKNOWN,10,gray,none,NaT,Sonoma County Animal Shelter,43387
GERM SHEPHERD/MIX,Female,1900-01-01,2019-10-17,2019-10-17,STRAY,DOG,return to owner,UNKNOWN,0,white,none,NaT,Sonoma County Animal Shelter,43753
DOMESTIC SH,Spayed,2014-06-06,2014-09-06,2014-09-19,STRAY,CAT,transfer,HEALTHY,13,black,none,105,Sonoma County Animal Shelter,92
DOMESTIC SH,Neutered,2010-10-22,2014-08-15,2014-10-22,TRANSFER,CAT,adoption,HEALTHY,68,black,none,1461,Sonoma County Animal Shelter,1393
PIT BULL,Neutered,2008-09-26,2014-07-24,2014-08-02,STRAY,DOG,return to owner,TREATABLE/MANAGEABLE,9,br brindle,fawn,2136,Sonoma County Animal Shelter,2127
CHIHUAHUA SH,Female,2006-07-12,2016-07-12,2016-07-12,STRAY,DOG,return to owner,HEALTHY,0,tan,none,3653,Sonoma County Animal Shelter,3653
PARSON RUSS TER/CHIHUAHUA SH,Neutered,1900-01-01,2016-03-19,2016-03-25,STRAY,DOG,return to owner,HEALTHY,6,brown,none,NaT,Sonoma County Animal Shelter,42446
GERM SHEPHERD,Unknown,1900-01-01,2023-07-19,2023-08-03,STRAY,DOG,euthanize,UNKNOWN,15,brown,black,NaT,Sonoma County Animal Shelter,45124
DOMESTIC SH,Spayed,2019-04-18,2019-05-10,2019-07-03,STRAY,CAT,adoption,TREATABLE/REHAB,54,gray,white,76,Sonoma County Animal Shelter,22
DOMESTIC SH,Spayed,2011-12-29,2017-06-29,2017-07-30,OWNER SURRENDER,CAT,adoption,HEALTHY,31,gray tabby,none,2040,Sonoma County Animal Shelter,2009
PIT BULL,Male,1900-01-01,2021-10-01,2021-12-01,STRAY,DOG,euthanize,UNKNOWN,61,brown,none,NaT,Sonoma County Animal Shelter,44468
DOMESTIC LH,Spayed,2004-05-18,2017-05-16,2017-05-24,STRAY,CAT,adoption,TREATABLE/REHAB,8,orange,white,4754,Sonoma County Animal Shelter,4746
DOMESTIC SH,Spayed,2017-12-01,2018-01-31,2018-02-03,STRAY,CAT,adoption,HEALTHY,3,brn tabby,none,64,Sonoma County Animal Shelter,61
DOMESTIC MH,Neutered,2019-02-23,2019-05-10,2019-05-18,STRAY,CAT,adoption,HEALTHY,8,gray,none,84,Sonoma County Animal Shelter,76
BENGAL,Neutered,1900-01-01,2017-10-10,2017-10-10,STRAY,CAT,return to owner,UNKNOWN,0,brn tabby,none,NaT,Sonoma County Animal Shelter,43016
YORKSHIRE TERR,Male,2019-02-02,2023-01-31,2023-02-02,STRAY,DOG,return to owner,UNKNOWN,2,black,tan,1461,Sonoma County Animal Shelter,1459
POMERANIAN/PAPILLON,Neutered,1900-01-01,2018-10-11,2018-10-11,CONFISCATE,DOG,return to owner,UNKNOWN,0,brown,black,NaT,Sonoma County Animal Shelter,43382
RAT TERRIER,Neutered,2016-10-01,2020-09-10,2021-02-04,STRAY,DOG,transfer,HEALTHY,147,tricolor,none,1587,Sonoma County Animal Shelter,1440
PIT BULL,Spayed,1900-01-01,2017-04-27,2017-04-28,CONFISCATE,DOG,return to owner,HEALTHY,1,black,none,NaT,Sonoma County Animal Shelter,42850
POMERANIAN/MIX,Neutered,2014-02-09,2015-02-02,2015-02-14,STRAY,DOG,adoption,HEALTHY,12,tan,none,370,Sonoma County Animal Shelter,358
PIT BULL,Male,2017-11-09,2019-06-20,2019-06-22,STRAY,DOG,return to owner,HEALTHY,2,tan,white,590,Sonoma County Animal Shelter,588
AUST SHEPHERD/MIX,Male,2012-12-14,2021-08-13,2021-08-14,STRAY,DOG,return to owner,UNKNOWN,1,black,tricolor,3165,Sonoma County Animal Shelter,3164
GERM SHEPHERD/AUST CATTLE DOG,Neutered,2021-12-01,2022-02-24,2022-05-17,OWNER SURRENDER,DOG,adoption,UNKNOWN,82,black,brown,167,Sonoma County Animal Shelter,85
GERM SHEPHERD,Male,1900-01-01,2015-04-13,2015-04-14,STRAY,DOG,return to owner,HEALTHY,1,tan,black,NaT,Sonoma County Animal Shelter,42105
PIT BULL/MIX,Spayed,2014-12-24,2015-08-21,2015-08-29,ADOPTION RETURN,DOG,adoption,HEALTHY,8,brown,none,248,Sonoma County Animal Shelter,240
BORDER COLLIE,Male,2005-01-08,2021-01-07,2021-01-07,STRAY,DOG,return to owner,UNKNOWN,0,brown,white,5843,Sonoma County Animal Shelter,5843
DOMESTIC SH,Spayed,2011-06-22,2017-06-22,2017-06-22,STRAY,CAT,euthanize,UNTREATABLE,0,brn tabby,none,2192,Sonoma County Animal Shelter,2192
DOMESTIC SH,Spayed,2020-03-23,2020-06-23,2020-07-21,CONFISCATE,CAT,adoption,HEALTHY,28,brn tabby,none,120,Sonoma County Animal Shelter,92
LABRADOR RETR,Male,1900-01-01,2021-05-02,2021-05-04,CONFISCATE,DOG,return to owner,UNKNOWN,2,yellow,none,NaT,Sonoma County Animal Shelter,44316
LABRADOR RETR,Neutered,2012-03-04,2020-10-28,2020-12-02,OWNER SURRENDER,DOG,transfer,UNKNOWN,35,black,none,3195,Sonoma County Animal Shelter,3160
LABRADOR RETR,Neutered,2019-05-01,2021-03-16,2021-03-17,STRAY,DOG,return to owner,HEALTHY,1,black,none,686,Sonoma County Animal Shelter,685
DOMESTIC SH,Female,1900-01-01,2017-08-12,2017-08-12,OWNER SURRENDER,CAT,transfer,UNKNOWN,0,brn tabby,none,NaT,Sonoma County Animal Shelter,42957
