Animal_Type,DOB,Primary_Color,Secondary_Color,Sex,Intake_Date,Intake_Condition,Intake_Type,Outcome_Date,Outcome_Type,Intake_Age,Outcome_Age,Time_in_Shelter_Days,Intake_Age_Days,Breed,Shelter_Name
CAT,2016-11-29,WHITE,None,Female,2019-11-29,INJURED  MILD,STRAY,2021-05-12,ADOPTION,1095 days,1625 days,530 days,1095,Unknown,Long Beach California Animal Shelter
CAT,2023-03-18,WHITE,GRAY,Male,2023-06-18,ILL MILD,STRAY,2023-06-29,EUTHANASIA,92 days,103 days,11 days,92,Unknown,Long Beach California Animal Shelter
DOG,2018-12-07,GRAY,WHITE,Neutered,2023-03-17,NORMAL,OWNER SURRENDER,2023-03-18,ADOPTION,1561 days,1562 days,1 days,1561,Unknown,Long Beach California Animal Shelter
BIRD,2023-04-29,WHITE,GRAY,Unknown,2024-04-29,INJURED  MODERATE,WILDLIFE,2024-04-30,RESCUE,366 days,367 days,1 days,366,Unknown,Long Beach California Animal Shelter
DOG,2016-04-01,BROWN,CREAM,Male,2023-01-21,NORMAL,STRAY,2023-01-21,RETURN TO OWNER,2486 days,2486 days,0 days,2486,Unknown,Long Beach California Animal Shelter
CAT,2020-03-15,BRN TABBY,None,Female,2020-04-15,UNDER AGE/WEIGHT,STRAY,2020-04-15,RESCUE,31 days,31 days,0 days,31,Unknown,Long Beach California Animal Shelter
RABBIT,2015-05-05,WHITE,BLACK,Neutered,2018-05-05,NORMAL,STRAY,2018-05-16,ADOPTION,1096 days,1107 days,11 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2020-09-12,ORANGE,None,Neutered,2020-09-25,ILL MILD,STRAY,2022-06-26,MISSING,13 days,652 days,639 days,13,Unknown,Long Beach California Animal Shelter
DOG,2021-10-25,BROWN,None,Neutered,2022-03-09,BEHAVIOR  MODERATE,OWNER SURRENDER,2022-03-23,ADOPTION,135 days,149 days,14 days,135,Unknown,Long Beach California Animal Shelter
CAT,2020-03-28,BRN TABBY,None,Male,2023-03-28,INJURED  SEVERE,STRAY,2023-03-29,EUTHANASIA,1095 days,1096 days,1 days,1095,Unknown,Long Beach California Animal Shelter
WILD,2024-06-01,BLACK,WHITE,Unknown,2024-08-01,ILL SEVERE,WILDLIFE,2024-08-01,EUTHANASIA,61 days,61 days,0 days,61,Unknown,Long Beach California Animal Shelter
CAT,2021-01-21,WHITE,None,Neutered,2023-01-21,FRACTIOUS,STRAY,2023-02-04,COMMUNITY CAT,730 days,744 days,14 days,730,Unknown,Long Beach California Animal Shelter
CAT,2018-06-20,ORG TABBY,None,Male,2018-07-20,UNDER AGE/WEIGHT,STRAY,2018-07-26,RESCUE,30 days,36 days,6 days,30,Unknown,Long Beach California Animal Shelter
OTHER,2021-01-06,BLACK,GRAY,Unknown,2021-06-06,ILL SEVERE,WILDLIFE,2021-06-06,EUTHANASIA,151 days,151 days,0 days,151,Unknown,Long Beach California Animal Shelter
CAT,2023-04-24,GRAY TABBY,WHITE,Spayed,2023-05-24,NORMAL,STRAY,2023-05-26,RESCUE,30 days,32 days,2 days,30,Unknown,Long Beach California Animal Shelter
CAT,2021-10-09,BLACK,None,Spayed,2021-11-07,UNDER AGE/WEIGHT,STRAY,2021-11-13,FOSTER TO ADOPT,29 days,35 days,6 days,29,Unknown,Long Beach California Animal Shelter
CAT,2019-08-03,BRN TABBY,WHITE,Male,2019-10-03,NORMAL,STRAY,2019-10-07,RESCUE,61 days,65 days,4 days,61,Unknown,Long Beach California Animal Shelter
CAT,2016-10-03,WHITE,None,Male,2018-12-12,NORMAL,OWNER SURRENDER,2018-12-15,TRANSFER,800 days,803 days,3 days,800,Unknown,Long Beach California Animal Shelter
DOG,2021-09-26,WHITE,BLACK,Neutered,2023-09-24,NORMAL,STRAY,2023-10-21,ADOPTION,728 days,755 days,27 days,728,Unknown,Long Beach California Animal Shelter
GUINEA PIG,2017-03-15,TAN,WHITE,Male,2017-09-15,NORMAL,STRAY,2017-09-22,TRANSFER,184 days,191 days,7 days,184,Unknown,Long Beach California Animal Shelter
DOG,2016-04-09,WHITE,None,Neutered,2017-04-09,NORMAL,STRAY,2017-04-12,RETURN TO OWNER,365 days,368 days,3 days,365,Unknown,Long Beach California Animal Shelter
CAT,2023-04-25,GRAY,None,Neutered,2023-05-24,UNDER AGE/WEIGHT,STRAY,2023-05-25,RESCUE,29 days,30 days,1 days,29,Unknown,Long Beach California Animal Shelter
CAT,2023-03-29,BRN TABBY,None,Female,2023-04-26,UNDER AGE/WEIGHT,STRAY,2023-05-21,ADOPTION,28 days,53 days,25 days,28,Unknown,Long Beach California Animal Shelter
DOG,2022-07-24,GRAY,WHITE,Female,2022-09-24,NORMAL,STRAY,2022-09-29,ADOPTION,62 days,67 days,5 days,62,Unknown,Long Beach California Animal Shelter
CAT,2024-04-14,GRAY,None,Neutered,2024-05-04,UNDER AGE/WEIGHT,STRAY,2024-06-27,RESCUE,20 days,74 days,54 days,20,Unknown,Long Beach California Animal Shelter
CAT,2023-05-12,LYNX PT,None,Male,2023-07-02,UNDER AGE/WEIGHT,STRAY,2023-07-13,RESCUE,51 days,62 days,11 days,51,Unknown,Long Beach California Animal Shelter
CAT,2019-05-01,GRAY TABBY,None,Male,2019-05-19,UNDER AGE/WEIGHT,STRAY,2020-03-28,ADOPTION,18 days,332 days,314 days,18,Unknown,Long Beach California Animal Shelter
CAT,2022-08-22,BLACK,None,Female,2022-09-22,UNDER AGE/WEIGHT,STRAY,2022-12-23,ADOPTION,31 days,123 days,92 days,31,Unknown,Long Beach California Animal Shelter
CAT,2022-08-22,BLACK,None,Female,2022-09-22,UNDER AGE/WEIGHT,STRAY,2022-12-30,ADOPTION,31 days,130 days,99 days,31,Unknown,Long Beach California Animal Shelter
CAT,2023-01-28,BRN TABBY,None,Male,2023-02-15,NORMAL,STRAY,2023-02-15,TRANSFER,18 days,18 days,0 days,18,Unknown,Long Beach California Animal Shelter
CAT,2023-03-10,ORG TABBY,None,Neutered,2023-05-12,NORMAL,STRAY,2023-05-20,ADOPTION,63 days,71 days,8 days,63,Unknown,Long Beach California Animal Shelter
CAT,2022-07-30,BLACK,None,Male,2022-08-30,UNDER AGE/WEIGHT,STRAY,2022-09-15,RESCUE,31 days,47 days,16 days,31,Unknown,Long Beach California Animal Shelter
DOG,2021-05-14,FAWN,None,Spayed,2022-05-14,NORMAL,STRAY,2022-05-22,ADOPTION,365 days,373 days,8 days,365,Unknown,Long Beach California Animal Shelter
CAT,2020-03-29,BLACK,None,Female,2020-04-29,UNDER AGE/WEIGHT,STRAY,2020-04-29,RESCUE,31 days,31 days,0 days,31,Unknown,Long Beach California Animal Shelter
DOG,2018-01-17,TAN,WHITE,Neutered,2024-01-17,NORMAL,QUARANTINE,2024-02-11,RESCUE,2191 days,2216 days,25 days,2191,Unknown,Long Beach California Animal Shelter
CAT,2021-07-24,BLACK,None,Male,2021-09-24,NORMAL,STRAY,2021-09-28,RESCUE,62 days,66 days,4 days,62,Unknown,Long Beach California Animal Shelter
CAT,2022-04-24,FLAME PT,None,Male,2022-05-22,UNDER AGE/WEIGHT,STRAY,2022-07-08,ADOPTION,28 days,75 days,47 days,28,Unknown,Long Beach California Animal Shelter
CAT,2014-01-20,ORANGE,WHITE,Neutered,2019-01-20,ILL MODERATETE,STRAY,2019-01-22,EUTHANASIA,1826 days,1828 days,2 days,1826,Unknown,Long Beach California Animal Shelter
CAT,2018-01-17,CALICO DIL,None,Spayed,2019-01-17,NORMAL,STRAY,2019-01-22,TRANSFER,365 days,370 days,5 days,365,Unknown,Long Beach California Animal Shelter
DOG,2023-01-22,WHITE,None,Male,2024-01-22,NORMAL,STRAY,2024-01-22,RETURN TO OWNER,365 days,365 days,0 days,365,Unknown,Long Beach California Animal Shelter
DOG,2023-01-22,WHITE,None,Spayed,2024-01-22,NORMAL,STRAY,2024-01-22,RETURN TO OWNER,365 days,365 days,0 days,365,Unknown,Long Beach California Animal Shelter
CAT,2019-03-23,BLACK,WHITE,Female,2019-05-01,UNDER AGE/WEIGHT,STRAY,2019-05-02,TRANSFER,39 days,40 days,1 days,39,Unknown,Long Beach California Animal Shelter
CAT,2019-03-23,GRAY,None,Male,2019-05-01,UNDER AGE/WEIGHT,STRAY,2019-05-01,RESCUE,39 days,39 days,0 days,39,Unknown,Long Beach California Animal Shelter
CAT,2019-07-07,WHITE,None,Spayed,2021-07-07,FRACTIOUS,STRAY,2021-07-14,COMMUNITY CAT,731 days,738 days,7 days,731,Unknown,Long Beach California Animal Shelter
CAT,2019-07-16,SEAL PT,None,Spayed,2021-07-16,NORMAL,STRAY,2021-07-27,COMMUNITY CAT,731 days,742 days,11 days,731,Unknown,Long Beach California Animal Shelter
CAT,2022-06-16,GRAY,WHITE,Female,2022-07-16,UNDER AGE/WEIGHT,STRAY,2022-12-04,ADOPTION,30 days,171 days,141 days,30,Unknown,Long Beach California Animal Shelter
CAT,2022-06-16,GRAY TABBY,WHITE,Female,2022-07-16,UNDER AGE/WEIGHT,STRAY,2022-11-26,ADOPTION,30 days,163 days,133 days,30,Unknown,Long Beach California Animal Shelter
CAT,2022-06-16,BRN TABBY,WHITE,Neutered,2022-07-16,UNDER AGE/WEIGHT,STRAY,2022-12-02,HOMEFIRST,30 days,169 days,139 days,30,Unknown,Long Beach California Animal Shelter
DOG,2014-06-06,BLACK,WHITE,Neutered,2017-05-03,NORMAL,SAFE KEEP,2017-05-03,RETURN TO OWNER,1062 days,1062 days,0 days,1062,Unknown,Long Beach California Animal Shelter
CAT,2024-09-02,GRAY,None,Neutered,2024-10-17,UNDER AGE/WEIGHT,STRAY,2024-12-01,ADOPTION,45 days,90 days,45 days,45,Unknown,Long Beach California Animal Shelter
CAT,2023-08-19,WHITE,BRN TABBY,Neutered,2023-09-19,ILL MILD,STRAY,2024-01-17,ADOPTION,31 days,151 days,120 days,31,Unknown,Long Beach California Animal Shelter
CAT,2023-08-19,BLACK,WHITE,Spayed,2023-09-19,ILL MILD,STRAY,2024-01-18,ADOPTION,31 days,152 days,121 days,31,Unknown,Long Beach California Animal Shelter
DOG,2022-11-07,BR BRINDLE,WHITE,Male,2024-11-07,NORMAL,STRAY,2024-11-07,RETURN TO OWNER,731 days,731 days,0 days,731,Unknown,Long Beach California Animal Shelter
CAT,2017-03-13,BRN TABBY,None,Male,2019-03-13,NORMAL,STRAY,2019-03-16,TRANSFER,730 days,733 days,3 days,730,Unknown,Long Beach California Animal Shelter
DOG,2020-02-28,WHITE,None,Male,2022-07-31,NORMAL,STRAY,2022-07-31,RETURN TO OWNER,884 days,884 days,0 days,884,Unknown,Long Beach California Animal Shelter
DOG,2012-05-24,BROWN,BLACK,Female,2019-10-30,ILL MILD,STRAY,2019-11-23,ADOPTION,2715 days,2739 days,24 days,2715,Unknown,Long Beach California Animal Shelter
DOG,2017-08-23,BROWN,WHITE,Female,2018-08-23,NORMAL,STRAY,2018-08-29,TRANSFER,365 days,371 days,6 days,365,Unknown,Long Beach California Animal Shelter
CAT,2018-08-07,WHITE,None,Male,2018-08-27,UNDER AGE/WEIGHT,STRAY,2018-08-30,TRANSFER,20 days,23 days,3 days,20,Unknown,Long Beach California Animal Shelter
CAT,2021-08-12,BROWN,None,Neutered,2021-09-12,UNDER AGE/WEIGHT,STRAY,2021-09-12,FOSTER TO ADOPT,31 days,31 days,0 days,31,Unknown,Long Beach California Animal Shelter
CAT,2018-02-09,BLACK,WHITE,Spayed,2020-02-09,NORMAL,OWNER SURRENDER,2020-02-16,TRANSFER,730 days,737 days,7 days,730,Unknown,Long Beach California Animal Shelter
CAT,2021-08-12,WHITE,None,Spayed,2021-09-12,UNDER AGE/WEIGHT,STRAY,2021-09-12,FOSTER TO ADOPT,31 days,31 days,0 days,31,Unknown,Long Beach California Animal Shelter
DOG,2017-11-24,BLACK,BROWN,Neutered,2019-11-24,NORMAL,STRAY,2019-12-07,ADOPTION,730 days,743 days,13 days,730,Unknown,Long Beach California Animal Shelter
DOG,2009-09-02,WHITE,None,Female,2019-05-13,ILL MILD,STRAY,2019-05-16,RETURN TO OWNER,3540 days,3543 days,3 days,3540,Unknown,Long Beach California Animal Shelter
CAT,2016-06-29,BRN TABBY,None,Spayed,2017-05-09,FERAL,STRAY,2017-05-11,RETURN TO RESCUE,314 days,316 days,2 days,314,Unknown,Long Beach California Animal Shelter
CAT,2019-09-01,BLACK,None,Neutered,2019-12-01,BEHAVIOR  MODERATE,STRAY,2020-01-05,ADOPTION,91 days,126 days,35 days,91,Unknown,Long Beach California Animal Shelter
CAT,2018-06-17,BRN TABBY,None,Spayed,2019-06-17,NORMAL,STRAY,2019-07-17,"SHELTER, NEUTER, RETURN",365 days,395 days,30 days,365,Unknown,Long Beach California Animal Shelter
CAT,2019-04-09,GRAY TABBY,None,Spayed,2019-06-15,NORMAL,STRAY,2019-11-21,ADOPTION,67 days,226 days,159 days,67,Unknown,Long Beach California Animal Shelter
DOG,2017-06-25,BLACK,None,Male,2017-08-19,NORMAL,STRAY,2017-08-25,TRANSFER,55 days,61 days,6 days,55,Unknown,Long Beach California Animal Shelter
CAT,2022-07-17,BLACK,WHITE,Male,2022-08-26,INJURED  SEVERE,STRAY,2022-08-26,EUTHANASIA,40 days,40 days,0 days,40,Unknown,Long Beach California Animal Shelter
CAT,2018-08-29,BLACK,WHITE,Male,2018-09-02,UNDER AGE/WEIGHT,STRAY,2018-09-02,RESCUE,4 days,4 days,0 days,4,Unknown,Long Beach California Animal Shelter
CAT,2024-03-10,GRAY TABBY,None,Female,2024-03-27,UNDER AGE/WEIGHT,STRAY,2024-03-28,RESCUE,17 days,18 days,1 days,17,Unknown,Long Beach California Animal Shelter
DOG,2018-02-20,BROWN,None,Male,2019-02-20,NORMAL,STRAY,2019-02-26,TRANSFER,365 days,371 days,6 days,365,Unknown,Long Beach California Animal Shelter
DOG,2021-11-15,BLACK,None,Neutered,2022-09-15,NORMAL,STRAY,2022-09-21,ADOPTION,304 days,310 days,6 days,304,Unknown,Long Beach California Animal Shelter
CAT,2020-04-22,WHITE,BLACK,Neutered,2023-04-22,ILL MILD,STRAY,2023-04-29,EUTHANASIA,1095 days,1102 days,7 days,1095,Unknown,Long Beach California Animal Shelter
CAT,2022-08-11,GRAY,TORTIE,Male,2022-09-11,UNDER AGE/WEIGHT,STRAY,2022-09-15,RESCUE,31 days,35 days,4 days,31,Unknown,Long Beach California Animal Shelter
CAT,2022-08-11,TORTIE DIL,GRAY,Spayed,2022-09-11,UNDER AGE/WEIGHT,STRAY,2022-09-16,HOMEFIRST,31 days,36 days,5 days,31,Unknown,Long Beach California Animal Shelter
CAT,2017-05-29,BLK TABBY,None,Male,2017-07-29,NORMAL,STRAY,2017-09-07,RESCUE,61 days,101 days,40 days,61,Unknown,Long Beach California Animal Shelter
CAT,2017-05-29,GRAY TABBY,None,Spayed,2017-07-29,NORMAL,STRAY,2017-08-12,ADOPTION,61 days,75 days,14 days,61,Unknown,Long Beach California Animal Shelter
CAT,2017-04-22,CALICO,None,Female,2017-05-13,UNDER AGE/WEIGHT,STRAY,2017-06-12,RESCUE,21 days,51 days,30 days,21,Unknown,Long Beach California Animal Shelter
DOG,2018-09-17,BROWN,None,Neutered,2022-09-17,NORMAL,STRAY,2022-09-23,ADOPTION,1461 days,1467 days,6 days,1461,Unknown,Long Beach California Animal Shelter
DOG,2011-01-04,BLACK,None,Neutered,2021-01-03,NORMAL,STRAY,2021-01-13,ADOPTION,3652 days,3662 days,10 days,3652,Unknown,Long Beach California Animal Shelter
DOG,2014-12-11,TAN,BLACK,Neutered,2020-12-11,NORMAL,STRAY,2021-01-21,ADOPTION,2192 days,2233 days,41 days,2192,Unknown,Long Beach California Animal Shelter
WILD,2019-09-04,GRAY,BLACK,Unknown,2021-09-04,ILL MODERATETE,WILDLIFE,2021-09-04,EUTHANASIA,731 days,731 days,0 days,731,Unknown,Long Beach California Animal Shelter
CAT,2023-04-01,BLACK,WHITE,Unknown,2023-05-19,NORMAL,STRAY,2023-05-19,RESCUE,48 days,48 days,0 days,48,Unknown,Long Beach California Animal Shelter
DOG,2018-07-10,CREAM,None,Spayed,2024-07-10,NORMAL,STRAY,2024-07-14,TRANSFER,2192 days,2196 days,4 days,2192,Unknown,Long Beach California Animal Shelter
DOG,2008-04-10,WHITE,None,Neutered,2020-06-12,AGED,STRAY,2020-06-12,RETURN TO OWNER,4446 days,4446 days,0 days,4446,Unknown,Long Beach California Animal Shelter
DOG,2024-03-27,TAN,None,Female,2024-05-08,UNDER AGE/WEIGHT,STRAY,2024-05-09,RESCUE,42 days,43 days,1 days,42,Unknown,Long Beach California Animal Shelter
DOG,2007-06-27,BROWN,WHITE,Spayed,2017-03-16,NORMAL,STRAY,2017-03-17,RETURN TO OWNER,3550 days,3551 days,1 days,3550,Unknown,Long Beach California Animal Shelter
DOG,2013-02-02,WHITE,None,Male,2019-11-22,NORMAL,STRAY,2020-01-11,RESCUE,2484 days,2534 days,50 days,2484,Unknown,Long Beach California Animal Shelter
CAT,2017-08-26,ORANGE,WHITE,Unknown,2017-09-26,UNDER AGE/WEIGHT,STRAY,2017-10-20,RESCUE,31 days,55 days,24 days,31,Unknown,Long Beach California Animal Shelter
CAT,2019-03-18,BLACK,WHITE,Male,2019-03-30,FRACTIOUS,STRAY,2019-05-11,RESCUE,12 days,54 days,42 days,12,Unknown,Long Beach California Animal Shelter
CAT,2017-08-26,WHITE,None,Unknown,2017-09-26,UNDER AGE/WEIGHT,STRAY,2017-10-20,RESCUE,31 days,55 days,24 days,31,Unknown,Long Beach California Animal Shelter
CAT,2023-07-10,GRAY TABBY,None,Spayed,2023-08-25,UNDER AGE/WEIGHT,STRAY,2023-08-26,RESCUE,46 days,47 days,1 days,46,Unknown,Long Beach California Animal Shelter
DOG,2013-03-13,WHITE,None,Neutered,2019-02-02,NORMAL,OWNER SURRENDER,2019-04-27,RESCUE,2152 days,2236 days,84 days,2152,Unknown,Long Beach California Animal Shelter
BIRD,2015-03-12,WHITE,GRAY,Unknown,2017-03-12,INJURED  SEVERE,WILDLIFE,2017-03-12,EUTHANASIA,731 days,731 days,0 days,731,Unknown,Long Beach California Animal Shelter
DOG,2017-06-26,BLACK,WHITE,Spayed,2020-06-26,NORMAL,STRAY,2020-07-12,ADOPTION,1096 days,1112 days,16 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2019-02-06,BROWN,None,Spayed,2020-02-06,NORMAL,STRAY,2020-03-07,ADOPTION,365 days,395 days,30 days,365,Unknown,Long Beach California Animal Shelter
CAT,2022-04-08,BLACK,None,Spayed,2022-09-08,NORMAL,STRAY,2022-11-13,ADOPTION,153 days,219 days,66 days,153,Unknown,Long Beach California Animal Shelter
CAT,2016-11-08,TORTIE,None,Spayed,2018-11-08,NORMAL,STRAY,2018-11-21,"SHELTER, NEUTER, RETURN",730 days,743 days,13 days,730,Unknown,Long Beach California Animal Shelter
DOG,2018-12-29,WHITE,None,Male,2022-12-29,NORMAL,STRAY,2022-12-30,TRANSPORT,1461 days,1462 days,1 days,1461,Unknown,Long Beach California Animal Shelter
DOG,2015-08-01,TAN,WHITE,Female,2019-08-01,FRACTIOUS,STRAY,2019-08-07,TRANSFER,1461 days,1467 days,6 days,1461,Unknown,Long Beach California Animal Shelter
CAT,2022-07-28,BRN TABBY,None,Unknown,2022-08-13,UNDER AGE/WEIGHT,STRAY,2022-08-13,EUTHANASIA,16 days,16 days,0 days,16,Unknown,Long Beach California Animal Shelter
CAT,2022-08-30,GRAY,None,Female,2022-09-05,UNDER AGE/WEIGHT,STRAY,2022-09-08,RESCUE,6 days,9 days,3 days,6,Unknown,Long Beach California Animal Shelter
CAT,2022-07-28,GRAY TABBY,None,Unknown,2022-08-13,UNDER AGE/WEIGHT,STRAY,2022-08-13,EUTHANASIA,16 days,16 days,0 days,16,Unknown,Long Beach California Animal Shelter
CAT,2021-05-09,GRAY,None,Unknown,2021-11-09,ILL SEVERE,STRAY,2021-11-10,EUTHANASIA,184 days,185 days,1 days,184,Unknown,Long Beach California Animal Shelter
CAT,2018-05-08,GRAY,WHITE,Unknown,2018-05-14,UNDER AGE/WEIGHT,STRAY,2018-05-14,EUTHANASIA,6 days,6 days,0 days,6,Unknown,Long Beach California Animal Shelter
DOG,2017-03-26,TAN,None,Male,2018-03-26,INJURED  SEVERE,STRAY,2018-04-06,RESCUE,365 days,376 days,11 days,365,Unknown,Long Beach California Animal Shelter
CAT,2017-04-23,GRAY TABBY,None,Unknown,2017-05-02,UNDER AGE/WEIGHT,STRAY,2017-05-05,DIED,9 days,12 days,3 days,9,Unknown,Long Beach California Animal Shelter
CAT,2014-10-21,SEAL PT,None,Female,2017-10-21,NORMAL,STRAY,2017-11-01,RESCUE,1096 days,1107 days,11 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2017-07-21,GRAY TABBY,None,Female,2017-10-21,NORMAL,STRAY,2017-10-31,EUTHANASIA,92 days,102 days,10 days,92,Unknown,Long Beach California Animal Shelter
DOG,2008-12-24,TAN,None,Spayed,2018-08-13,INJURED  SEVERE,STRAY,2018-08-24,TRANSFER,3519 days,3530 days,11 days,3519,Unknown,Long Beach California Animal Shelter
DOG,2023-10-03,TRICOLOR,None,Female,2024-04-03,NORMAL,STRAY,2024-04-07,RESCUE,183 days,187 days,4 days,183,Unknown,Long Beach California Animal Shelter
DOG,2012-08-24,BLACK,TAN,Male,2020-08-24,INJURED  SEVERE,STRAY,2020-08-24,EUTHANASIA,2922 days,2922 days,0 days,2922,Unknown,Long Beach California Animal Shelter
CAT,2018-08-16,GRAY,None,Unknown,2019-08-16,FRACTIOUS,STRAY,2019-08-16,"SHELTER, NEUTER, RETURN",365 days,365 days,0 days,365,Unknown,Long Beach California Animal Shelter
CAT,2018-08-16,BROWN,BRN TABBY,Spayed,2019-08-16,FRACTIOUS,STRAY,2019-09-14,"SHELTER, NEUTER, RETURN",365 days,394 days,29 days,365,Unknown,Long Beach California Animal Shelter
BIRD,2018-12-18,GRAY,BLACK,Unknown,2019-12-18,INJURED  MODERATE,WILDLIFE,2019-12-18,TRANSFER,365 days,365 days,0 days,365,Unknown,Long Beach California Animal Shelter
DOG,2017-08-30,TAN,None,Neutered,2019-08-30,INJURED  SEVERE,OWNER SURRENDER,2019-08-31,EUTHANASIA,730 days,731 days,1 days,730,Unknown,Long Beach California Animal Shelter
CAT,2021-04-02,ORG TABBY,WHITE,Neutered,2021-06-02,NORMAL,STRAY,2021-06-11,ADOPTION,61 days,70 days,9 days,61,Unknown,Long Beach California Animal Shelter
CAT,2021-04-02,ORG TABBY,WHITE,Neutered,2021-06-02,NORMAL,STRAY,2021-06-10,ADOPTION,61 days,69 days,8 days,61,Unknown,Long Beach California Animal Shelter
REPTILE,2021-08-09,GRAY,None,Unknown,2022-05-09,NORMAL,WILDLIFE,2022-05-10,RETURN TO WILD HABITAT,273 days,274 days,1 days,273,Unknown,Long Beach California Animal Shelter
CAT,2019-12-07,BLACK,WHITE,Spayed,2024-12-07,ILL MILD,STRAY,2024-12-12,DIED,1827 days,1832 days,5 days,1827,Unknown,Long Beach California Animal Shelter
CAT,2023-03-19,ORANGE,WHITE,Neutered,2023-04-19,UNDER AGE/WEIGHT,STRAY,2023-04-21,RESCUE,31 days,33 days,2 days,31,Unknown,Long Beach California Animal Shelter
CAT,2023-10-05,CALICO DIL,None,Female,2023-11-05,UNDER AGE/WEIGHT,STRAY,2023-11-16,RESCUE,31 days,42 days,11 days,31,Unknown,Long Beach California Animal Shelter
DOG,2013-03-29,WHITE,None,Male,2023-03-29,AGED,WELFARE SEIZED,2023-03-30,RETURN TO OWNER,3652 days,3653 days,1 days,3652,Unknown,Long Beach California Animal Shelter
CAT,2020-08-03,GRAY,WHITE,Male,2020-10-04,UNDER AGE/WEIGHT,STRAY,2020-10-12,RESCUE,62 days,70 days,8 days,62,Unknown,Long Beach California Animal Shelter
CAT,2003-02-09,TORTIE,None,Spayed,2017-02-08,NORMAL,STRAY,2017-02-09,RETURN TO OWNER,5113 days,5114 days,1 days,5113,Unknown,Long Beach California Animal Shelter
CAT,2014-01-30,GRAY TABBY,WHITE,Neutered,2019-01-30,FRACTIOUS,STRAY,2019-02-08,"SHELTER, NEUTER, RETURN",1826 days,1835 days,9 days,1826,Unknown,Long Beach California Animal Shelter
BIRD,2017-06-12,BROWN,YELLOW,Unknown,2017-07-12,NORMAL,WILDLIFE,2017-07-12,RESCUE,30 days,30 days,0 days,30,Unknown,Long Beach California Animal Shelter
DOG,2010-06-28,BLUE,WHITE,Male,2018-11-11,NORMAL,STRAY,2018-11-15,RETURN TO OWNER,3058 days,3062 days,4 days,3058,Unknown,Long Beach California Animal Shelter
DOG,2023-07-02,GRAY,WHITE,Female,2023-08-02,I/I REPORT,STRAY,2023-08-04,RESCUE,31 days,33 days,2 days,31,Unknown,Long Beach California Animal Shelter
DOG,2022-04-26,WHITE,None,Neutered,2024-04-26,NORMAL,STRAY,2024-05-16,ADOPTION,731 days,751 days,20 days,731,Unknown,Long Beach California Animal Shelter
CAT,2018-06-27,TORTIE,None,Male,2018-07-27,UNDER AGE/WEIGHT,STRAY,2018-08-08,RESCUE,30 days,42 days,12 days,30,Unknown,Long Beach California Animal Shelter
CAT,2023-06-23,GRAY,None,Unknown,2023-07-23,UNDER AGE/WEIGHT,STRAY,2023-07-23,EUTHANASIA,30 days,30 days,0 days,30,Unknown,Long Beach California Animal Shelter
CAT,2014-04-27,BRN TABBY,WHITE,Neutered,2024-02-14,ILL MODERATETE,STRAY,2024-02-15,COMMUNITY CAT,3580 days,3581 days,1 days,3580,Unknown,Long Beach California Animal Shelter
DOG,2022-01-29,BLACK,TAN,Spayed,2023-06-10,NORMAL,OWNER SURRENDER,2023-08-26,ADOPTION,497 days,574 days,77 days,497,Unknown,Long Beach California Animal Shelter
DOG,2022-01-29,BLACK,TAN,Spayed,2023-06-08,NORMAL,OWNER SURRENDER,2023-06-09,RETURN TO OWNER,495 days,496 days,1 days,495,Unknown,Long Beach California Animal Shelter
DOG,2022-01-29,BLACK,TAN,Neutered,2023-06-08,NORMAL,OWNER SURRENDER,2023-06-09,RETURN TO OWNER,495 days,496 days,1 days,495,Unknown,Long Beach California Animal Shelter
DOG,2022-06-02,BROWN,BLACK,Spayed,2023-04-20,NORMAL,STRAY,2023-05-17,ADOPTION,322 days,349 days,27 days,322,Unknown,Long Beach California Animal Shelter
CAT,2017-11-06,LYNX PT,None,Female,2019-11-06,INJURED  SEVERE,STRAY,2019-11-06,EUTHANASIA,730 days,730 days,0 days,730,Unknown,Long Beach California Animal Shelter
CAT,2019-04-03,GRAY TABBY,None,Female,2019-04-24,UNDER AGE/WEIGHT,STRAY,2019-04-25,RESCUE,21 days,22 days,1 days,21,Unknown,Long Beach California Animal Shelter
CAT,2011-04-23,SEAL PT,WHITE,Male,2017-04-23,ILL MODERATETE,STRAY,2017-05-16,EUTHANASIA,2192 days,2215 days,23 days,2192,Unknown,Long Beach California Animal Shelter
CAT,2005-03-19,FLAME PT,None,Male,2024-03-19,ILL MODERATETE,STRAY,2024-03-19,RETURN TO OWNER,6940 days,6940 days,0 days,6940,Unknown,Long Beach California Animal Shelter
CAT,2017-04-04,BRN TABBY,WHITE,Neutered,2019-04-04,NORMAL,STRAY,2019-04-27,"SHELTER, NEUTER, RETURN",730 days,753 days,23 days,730,Unknown,Long Beach California Animal Shelter
CAT,2018-05-03,BLACK,WHITE,Spayed,2019-05-03,FRACTIOUS,STRAY,2019-05-22,"SHELTER, NEUTER, RETURN",365 days,384 days,19 days,365,Unknown,Long Beach California Animal Shelter
DOG,2007-08-25,BLUE BRIND,None,Male,2017-08-25,NORMAL,OWNER SURRENDER,2017-09-10,ADOPTION,3653 days,3669 days,16 days,3653,Unknown,Long Beach California Animal Shelter
